PokedexNumber,TypeIDs
780,"13, 3"
781,"9, 10"
782,3
783,"3, 6"
784,"3, 6"
785,"4, 5"
786,"15, 5"
787,"10, 5"
788,"18, 5"
789,15
790,15
791,"15, 17"
792,"15, 9"
793,"16, 14"
794,"1, 6"
795,"1, 6"
796,4
797,"17, 8"
798,"10, 17"
799,"2, 3"
800,15
801,"17, 5"
802,"6, 9"
803,14
804,"14, 3"
805,"16, 17"
806,"7, 9"
807,4
808,17
809,17
810,10
811,10
812,10
813,7
814,7
815,7
816,18
817,18
818,18
819,13
820,13
821,8
822,8
823,"8, 17"
824,1
825,"1, 15"
826,"1, 15"
827,2
828,2
829,10
830,10
831,13
832,13
833,18
834,"18, 16"
835,4
836,4
837,16
838,"16, 7"
839,"16, 7"
840,"10, 3"
841,"10, 3"
842,"10, 3"
843,11
844,11
845,"8, 18"
846,18
847,18
848,"4, 14"
849,"4, 14"
850,"7, 1"
851,"7, 1"
852,6
853,6
854,9
855,9
856,15
857,15
858,"15, 5"
859,"2, 5"
860,"2, 5"
861,"2, 5"
862,"2, 13"
863,17
864,9
865,6
866,"12, 15"
867,"11, 9"
868,5
869,5
870,6
871,4
872,"12, 1"
873,"12, 1"
874,16
875,12
876,"15, 13"
877,"4, 2"
878,17
879,17
880,"4, 3"
881,"4, 12"
882,"18, 3"
883,"18, 12"
884,"17, 3"
885,"3, 9"
886,"3, 9"
887,"3, 9"
888,5
889,6
890,"14, 3"
891,6
892,"6, 2"
893,"2, 10"
894,4
895,3
896,12
897,9
898,"15, 10"
899,"13, 15"
900,"1, 16"
901,"11, 13"
902,"18, 9"
903,"6, 14"
904,"2, 14"
905,"5, 8"
906,10
907,10
908,"10, 2"
909,7
910,7
911,"7, 9"
912,18
913,18
914,"18, 6"
915,13
916,13
917,1
918,1
919,1
920,"1, 2"
921,4
922,"4, 6"
923,"4, 6"
924,13
925,13
926,5
927,5
928,"10, 13"
929,"10, 13"
930,"10, 13"
931,"13, 8"
932,16
933,16
934,16
935,7
936,"7, 15"
937,"7, 9"
938,4
939,4
940,"4, 8"
941,"4, 8"
942,2
943,2
944,"14, 13"
945,"14, 13"
946,"10, 9"
947,"10, 9"
948,"11, 10"
949,"11, 10"
950,16
951,10
952,"10, 7"
953,1
954,"1, 15"
955,15
956,15
957,"5, 17"
958,"5, 17"
959,"5, 17"
960,18
961,18
962,"8, 2"
963,18
964,18
965,"17, 14"
966,"17, 14"
967,"3, 13"
968,17
969,"16, 14"
970,"16, 14"
971,9
972,9
973,"8, 6"
974,12
975,12
976,"18, 15"
977,18
978,"3, 18"
979,"6, 9"
980,"14, 11"
981,"13, 15"
982,13
983,"2, 17"
984,"11, 6"
985,"5, 15"
986,"10, 2"
987,"9, 5"
988,"1, 6"
989,"4, 11"
990,"11, 17"
991,"12, 18"
992,"6, 4"
993,"2, 8"
994,"7, 14"
995,"16, 4"
996,"3, 12"
997,"3, 12"
998,"3, 12"
999,9
1000,"17, 9"
1001,"2, 10"
1002,"2, 12"
1003,"2, 11"
1004,"2, 7"
1005,"3, 2"
1006,"5, 6"
1007,"6, 3"
1008,"4, 3"
1009,"18, 3"
1010,"10, 15"
1011,"10, 3"
1012,"10, 9"
1013,"10, 9"
1014,"14, 6"
1015,"14, 15"
1016,"14, 5"
1017,10
1018,"17, 3"
1019,"10, 3"
1020,"7, 3"
1021,"4, 3"
1022,"16, 15"
1023,"17, 15"
1024,13
1025,"14, 9"

