Pokedex Number,Name,Types,Generation,Region,Evolution_from,Evolution_to
76,Golem,"Rock, Ground",Generation-i,Kanto,Graveler,
77,Ponyta,Fire,Generation-i,Kanto,,Rapidash
78,Rapidash,Fire,Generation-i,Kanto,Ponyta,
79,Slowpoke,"Water, Psychic",Generation-i,Kanto,,Slowbro Slowking
80,Slowbro,"Water, Psychic",Generation-i,Kanto,Slowpoke,
81,Magnemite,"Electric, Steel",Generation-i,Kanto,,Magneton
82,Magneton,"Electric, Steel",Generation-i,Kanto,Magnemite,Magnezone
83,Farfetchd,"Normal, Flying",Generation-i,Kanto,,Sirfetchd
84,Doduo,"Normal, Flying",Generation-i,Kanto,,Dodrio
85,Dodrio,"Normal, Flying",Generation-i,Kanto,Doduo,
86,Seel,Water,Generation-i,Kanto,,Dewgong
87,Dewgong,"Water, Ice",Generation-i,Kanto,Seel,
88,Grimer,Poison,Generation-i,Kanto,,Muk
89,Muk,Poison,Generation-i,Kanto,Grimer,
90,Shellder,Water,Generation-i,Kanto,,Cloyster
91,Cloyster,"Water, Ice",Generation-i,Kanto,Shellder,
92,Gastly,"Ghost, Poison",Generation-i,Kanto,,Haunter
93,Haunter,"Ghost, Poison",Generation-i,Kanto,Gastly,Gengar
94,Gengar,"Ghost, Poison",Generation-i,Kanto,Haunter,
95,Onix,"Rock, Ground",Generation-i,Kanto,,Steelix
96,Drowzee,Psychic,Generation-i,Kanto,,Hypno
97,Hypno,Psychic,Generation-i,Kanto,Drowzee,
98,Krabby,Water,Generation-i,Kanto,,Kingler
99,Kingler,Water,Generation-i,Kanto,Krabby,
100,Voltorb,Electric,Generation-i,Kanto,,Electrode
101,Electrode,Electric,Generation-i,Kanto,Voltorb,
102,Exeggcute,"Grass, Psychic",Generation-i,Kanto,,Exeggutor
103,Exeggutor,"Grass, Psychic",Generation-i,Kanto,Exeggcute,
104,Cubone,Ground,Generation-i,Kanto,,Marowak
105,Marowak,Ground,Generation-i,Kanto,Cubone,
106,Hitmonlee,Fighting,Generation-i,Kanto,Tyrogue,
107,Hitmonchan,Fighting,Generation-i,Kanto,Hitmonlee,
108,Lickitung,Normal,Generation-i,Kanto,,Lickilicky
109,Koffing,Poison,Generation-i,Kanto,,Weezing
110,Weezing,Poison,Generation-i,Kanto,Koffing,
111,Rhyhorn,"Ground, Rock",Generation-i,Kanto,,Rhydon
112,Rhydon,"Ground, Rock",Generation-i,Kanto,Rhyhorn,Rhyperior
113,Chansey,Normal,Generation-i,Kanto,Happiny,Blissey
114,Tangela,Grass,Generation-i,Kanto,,Tangrowth
115,Kangaskhan,Normal,Generation-i,Kanto,,
116,Horsea,Water,Generation-i,Kanto,,Seadra
117,Seadra,Water,Generation-i,Kanto,Horsea,Kingdra
118,Goldeen,Water,Generation-i,Kanto,,Seaking
119,Seaking,Water,Generation-i,Kanto,Goldeen,
120,Staryu,Water,Generation-i,Kanto,,Starmie
121,Starmie,"Water, Psychic",Generation-i,Kanto,Staryu,
122,Mr-mime,"Psychic, Fairy",Generation-i,Kanto,Mime-jr,Mr-rime
123,Scyther,"Bug, Flying",Generation-i,Kanto,,Scizor Kleavor
124,Jynx,"Ice, Psychic",Generation-i,Kanto,Smoochum,
125,Electabuzz,Electric,Generation-i,Kanto,Elekid,Electivire
126,Magmar,Fire,Generation-i,Kanto,Magby,Magmortar
127,Pinsir,Bug,Generation-i,Kanto,,
128,Tauros,Normal,Generation-i,Kanto,,
129,Magikarp,Water,Generation-i,Kanto,,Gyarados
130,Gyarados,"Water, Flying",Generation-i,Kanto,Magikarp,
131,Lapras,"Water, Ice",Generation-i,Kanto,,
132,Ditto,Normal,Generation-i,Kanto,,
133,Eevee,Normal,Generation-i,Kanto,,Vaporeon Jolteon Flareon Umbreon Espeon Sylveon Leafeon Glaceon
134,Vaporeon,Water,Generation-i,Kanto,Eevee,
135,Jolteon,Electric,Generation-i,Kanto,Vaporeon,
136,Flareon,Fire,Generation-i,Kanto,Vaporeon,
137,Porygon,Normal,Generation-i,Kanto,,Porygon2
138,Omanyte,"Rock, Water",Generation-i,Kanto,,Omastar
139,Omastar,"Rock, Water",Generation-i,Kanto,Omanyte,
140,Kabuto,"Rock, Water",Generation-i,Kanto,,Kabutops
141,Kabutops,"Rock, Water",Generation-i,Kanto,Kabuto,
142,Aerodactyl,"Rock, Flying",Generation-i,Kanto,,
143,Snorlax,Normal,Generation-i,Kanto,Munchlax,
144,Articuno,"Ice, Flying",Generation-i,Kanto,,
145,Zapdos,"Electric, Flying",Generation-i,Kanto,,
146,Moltres,"Fire, Flying",Generation-i,Kanto,,
147,Dratini,Dragon,Generation-i,Kanto,,Dragonair
148,Dragonair,Dragon,Generation-i,Kanto,Dratini,Dragonite
149,Dragonite,"Dragon, Flying",Generation-i,Kanto,Dragonair,
150,Mewtwo,Psychic,Generation-i,Kanto,,
151,Mew,Psychic,Generation-i,Kanto,,
152,Chikorita,Grass,Generation-ii,Johto,,Bayleef
153,Bayleef,Grass,Generation-ii,Johto,Chikorita,Meganium
154,Meganium,Grass,Generation-ii,Johto,Bayleef,
155,Cyndaquil,Fire,Generation-ii,Johto,,Quilava
156,Quilava,Fire,Generation-ii,Johto,Cyndaquil,Typhlosion
157,Typhlosion,Fire,Generation-ii,Johto,Quilava,
158,Totodile,Water,Generation-ii,Johto,,Croconaw
159,Croconaw,Water,Generation-ii,Johto,Totodile,Feraligatr
160,Feraligatr,Water,Generation-ii,Johto,Croconaw,
161,Sentret,Normal,Generation-ii,Johto,,Furret
162,Furret,Normal,Generation-ii,Johto,Sentret,
163,Hoothoot,"Normal, Flying",Generation-ii,Johto,,Noctowl
164,Noctowl,"Normal, Flying",Generation-ii,Johto,Hoothoot,
165,Ledyba,"Bug, Flying",Generation-ii,Johto,,Ledian
166,Ledian,"Bug, Flying",Generation-ii,Johto,Ledyba,
167,Spinarak,"Bug, Poison",Generation-ii,Johto,,Ariados
168,Ariados,"Bug, Poison",Generation-ii,Johto,Spinarak,
169,Crobat,"Poison, Flying",Generation-ii,Johto,Golbat,
170,Chinchou,"Water, Electric",Generation-ii,Johto,,Lanturn
171,Lanturn,"Water, Electric",Generation-ii,Johto,Chinchou,
172,Pichu,Electric,Generation-ii,Johto,,Pikachu
173,Cleffa,Fairy,Generation-ii,Johto,,Clefairy
174,Igglybuff,"Normal, Fairy",Generation-ii,Johto,,Jigglypuff
175,Togepi,Fairy,Generation-ii,Johto,,Togetic
176,Togetic,"Fairy, Flying",Generation-ii,Johto,Togepi,Togekiss
177,Natu,"Psychic, Flying",Generation-ii,Johto,,Xatu
178,Xatu,"Psychic, Flying",Generation-ii,Johto,Natu,
179,Mareep,Electric,Generation-ii,Johto,,Flaaffy
180,Flaaffy,Electric,Generation-ii,Johto,Mareep,Ampharos
181,Ampharos,Electric,Generation-ii,Johto,Flaaffy,
182,Bellossom,Grass,Generation-ii,Johto,Vileplume,
183,Marill,"Water, Fairy",Generation-ii,Johto,Azurill,Azumarill
184,Azumarill,"Water, Fairy",Generation-ii,Johto,Marill,
185,Sudowoodo,Rock,Generation-ii,Johto,Bonsly,
186,Politoed,Water,Generation-ii,Johto,Poliwrath,
187,Hoppip,"Grass, Flying",Generation-ii,Johto,,Skiploom
188,Skiploom,"Grass, Flying",Generation-ii,Johto,Hoppip,Jumpluff
189,Jumpluff,"Grass, Flying",Generation-ii,Johto,Skiploom,
190,Aipom,Normal,Generation-ii,Johto,,Ambipom
191,Sunkern,Grass,Generation-ii,Johto,,Sunflora
192,Sunflora,Grass,Generation-ii,Johto,Sunkern,
193,Yanma,"Bug, Flying",Generation-ii,Johto,,Yanmega
194,Wooper,"Water, Ground",Generation-ii,Johto,,Quagsire
195,Quagsire,"Water, Ground",Generation-ii,Johto,Wooper,
196,Espeon,Psychic,Generation-ii,Johto,Vaporeon,
197,Umbreon,Dark,Generation-ii,Johto,Vaporeon,
198,Murkrow,"Dark, Flying",Generation-ii,Johto,,Honchkrow
199,Slowking,"Water, Psychic",Generation-ii,Johto,Slowbro,
200,Misdreavus,Ghost,Generation-ii,Johto,,Mismagius
201,Unown,Psychic,Generation-ii,Johto,,
202,Wobbuffet,Psychic,Generation-ii,Johto,Wynaut,
203,Girafarig,"Normal, Psychic",Generation-ii,Johto,,Farigiraf
204,Pineco,Bug,Generation-ii,Johto,,Forretress
205,Forretress,"Bug, Steel",Generation-ii,Johto,Pineco,
206,Dunsparce,Normal,Generation-ii,Johto,,Dudunsparce
207,Gligar,"Ground, Flying",Generation-ii,Johto,,Gliscor
208,Steelix,"Steel, Ground",Generation-ii,Johto,Onix,
209,Snubbull,Fairy,Generation-ii,Johto,,Granbull
210,Granbull,Fairy,Generation-ii,Johto,Snubbull,
211,Qwilfish,"Water, Poison",Generation-ii,Johto,,Overqwil
212,Scizor,"Bug, Steel",Generation-ii,Johto,Scyther,
213,Shuckle,"Bug, Rock",Generation-ii,Johto,,
214,Heracross,"Bug, Fighting",Generation-ii,Johto,,
215,Sneasel,"Dark, Ice",Generation-ii,Johto,,Weavile
216,Teddiursa,Normal,Generation-ii,Johto,,Ursaring
217,Ursaring,Normal,Generation-ii,Johto,Teddiursa,Ursaluna
218,Slugma,Fire,Generation-ii,Johto,,Magcargo
219,Magcargo,"Fire, Rock",Generation-ii,Johto,Slugma,
220,Swinub,"Ice, Ground",Generation-ii,Johto,,Piloswine
221,Piloswine,"Ice, Ground",Generation-ii,Johto,Swinub,Mamoswine
222,Corsola,"Water, Rock",Generation-ii,Johto,,Cursola
223,Remoraid,Water,Generation-ii,Johto,,Octillery
224,Octillery,Water,Generation-ii,Johto,Remoraid,
225,Delibird,"Ice, Flying",Generation-ii,Johto,,
226,Mantine,"Water, Flying",Generation-ii,Johto,Mantyke,
227,Skarmory,"Steel, Flying",Generation-ii,Johto,,
228,Houndour,"Dark, Fire",Generation-ii,Johto,,Houndoom
229,Houndoom,"Dark, Fire",Generation-ii,Johto,Houndour,
230,Kingdra,"Water, Dragon",Generation-ii,Johto,Seadra,
231,Phanpy,Ground,Generation-ii,Johto,,Donphan
232,Donphan,Ground,Generation-ii,Johto,Phanpy,
233,Porygon2,Normal,Generation-ii,Johto,Porygon,Porygon-z
234,Stantler,Normal,Generation-ii,Johto,,Wyrdeer
235,Smeargle,Normal,Generation-ii,Johto,,
236,Tyrogue,Fighting,Generation-ii,Johto,,Hitmonlee Hitmonchan Hitmontop 
237,Hitmontop,Fighting,Generation-ii,Johto,Hitmonlee,
238,Smoochum,"Ice, Psychic",Generation-ii,Johto,,Jynx
239,Elekid,Electric,Generation-ii,Johto,,Electabuzz
240,Magby,Fire,Generation-ii,Johto,,Magmar
241,Miltank,Normal,Generation-ii,Johto,,
242,Blissey,Normal,Generation-ii,Johto,Chansey,
243,Raikou,Electric,Generation-ii,Johto,,
244,Entei,Fire,Generation-ii,Johto,,
245,Suicune,Water,Generation-ii,Johto,,
246,Larvitar,"Rock, Ground",Generation-ii,Johto,,Pupitar
247,Pupitar,"Rock, Ground",Generation-ii,Johto,Larvitar,Tyranitar
248,Tyranitar,"Rock, Dark",Generation-ii,Johto,Pupitar,
249,Lugia,"Psychic, Flying",Generation-ii,Johto,,
250,Ho-oh,"Fire, Flying",Generation-ii,Johto,,
251,Celebi,"Psychic, Grass",Generation-ii,Johto,,
252,Treecko,Grass,Generation-iii,Hoenn,,Grovyle
253,Grovyle,Grass,Generation-iii,Hoenn,Treecko,Sceptile
254,Sceptile,Grass,Generation-iii,Hoenn,Grovyle,
255,Torchic,Fire,Generation-iii,Hoenn,,Combusken
256,Combusken,"Fire, Fighting",Generation-iii,Hoenn,Torchic,Blaziken
257,Blaziken,"Fire, Fighting",Generation-iii,Hoenn,Combusken,
258,Mudkip,Water,Generation-iii,Hoenn,,Marshtomp
259,Marshtomp,"Water, Ground",Generation-iii,Hoenn,Mudkip,Swampert
260,Swampert,"Water, Ground",Generation-iii,Hoenn,Marshtomp,
261,Poochyena,Dark,Generation-iii,Hoenn,,Mightyena
262,Mightyena,Dark,Generation-iii,Hoenn,Poochyena,
263,Zigzagoon,Normal,Generation-iii,Hoenn,,Linoone
264,Linoone,Normal,Generation-iii,Hoenn,Zigzagoon,Obstagoon
265,Wurmple,Bug,Generation-iii,Hoenn,,Silcoon Cascoon
266,Silcoon,Bug,Generation-iii,Hoenn,Wurmple,Beautifly
267,Beautifly,"Bug, Flying",Generation-iii,Hoenn,Silcoon,
268,Cascoon,Bug,Generation-iii,Hoenn,Beautifly,
269,Dustox,"Bug, Poison",Generation-iii,Hoenn,Beautifly,
270,Lotad,"Water, Grass",Generation-iii,Hoenn,,Lombre
271,Lombre,"Water, Grass",Generation-iii,Hoenn,Lotad,Ludicolo
272,Ludicolo,"Water, Grass",Generation-iii,Hoenn,Lombre,
273,Seedot,Grass,Generation-iii,Hoenn,,Nuzleaf
274,Nuzleaf,"Grass, Dark",Generation-iii,Hoenn,Seedot,Shiftry
275,Shiftry,"Grass, Dark",Generation-iii,Hoenn,Nuzleaf,
276,Taillow,"Normal, Flying",Generation-iii,Hoenn,,Swellow
277,Swellow,"Normal, Flying",Generation-iii,Hoenn,Taillow,
278,Wingull,"Water, Flying",Generation-iii,Hoenn,,Pelipper
279,Pelipper,"Water, Flying",Generation-iii,Hoenn,Wingull,
280,Ralts,"Psychic, Fairy",Generation-iii,Hoenn,,Kirlia
281,Kirlia,"Psychic, Fairy",Generation-iii,Hoenn,Ralts,Gardevoir Gallade
282,Gardevoir,"Psychic, Fairy",Generation-iii,Hoenn,Kirlia,
283,Surskit,"Bug, Water",Generation-iii,Hoenn,,Masquerain
284,Masquerain,"Bug, Flying",Generation-iii,Hoenn,Surskit,
285,Shroomish,Grass,Generation-iii,Hoenn,,Breloom
286,Breloom,"Grass, Fighting",Generation-iii,Hoenn,Shroomish,
287,Slakoth,Normal,Generation-iii,Hoenn,,Vigoroth
288,Vigoroth,Normal,Generation-iii,Hoenn,Slakoth,Slaking
289,Slaking,Normal,Generation-iii,Hoenn,Vigoroth,
290,Nincada,"Bug, Ground",Generation-iii,Hoenn,,Ninjask Shedinja
291,Ninjask,"Bug, Flying",Generation-iii,Hoenn,Nincada,
292,Shedinja,"Bug, Ghost",Generation-iii,Hoenn,Ninjask,
293,Whismur,Normal,Generation-iii,Hoenn,,Loudred
294,Loudred,Normal,Generation-iii,Hoenn,Whismur,Exploud
295,Exploud,Normal,Generation-iii,Hoenn,Loudred,
296,Makuhita,Fighting,Generation-iii,Hoenn,,Hariyama
297,Hariyama,Fighting,Generation-iii,Hoenn,Makuhita,
298,Azurill,"Normal, Fairy",Generation-iii,Hoenn,,Marill
299,Nosepass,Rock,Generation-iii,Hoenn,,Probopass
300,Skitty,Normal,Generation-iii,Hoenn,,Delcatty
301,Delcatty,Normal,Generation-iii,Hoenn,Skitty,
302,Sableye,"Dark, Ghost",Generation-iii,Hoenn,,
303,Mawile,"Steel, Fairy",Generation-iii,Hoenn,,
304,Aron,"Steel, Rock",Generation-iii,Hoenn,,Lairon
305,Lairon,"Steel, Rock",Generation-iii,Hoenn,Aron,Aggron
306,Aggron,"Steel, Rock",Generation-iii,Hoenn,Lairon,
307,Meditite,"Fighting, Psychic",Generation-iii,Hoenn,,Medicham
308,Medicham,"Fighting, Psychic",Generation-iii,Hoenn,Meditite,
309,Electrike,Electric,Generation-iii,Hoenn,,Manectric
310,Manectric,Electric,Generation-iii,Hoenn,Electrike,
311,Plusle,Electric,Generation-iii,Hoenn,,
312,Minun,Electric,Generation-iii,Hoenn,,
313,Volbeat,Bug,Generation-iii,Hoenn,,
314,Illumise,Bug,Generation-iii,Hoenn,,
315,Roselia,"Grass, Poison",Generation-iii,Hoenn,Budew,Roserade
316,Gulpin,Poison,Generation-iii,Hoenn,,Swalot
317,Swalot,Poison,Generation-iii,Hoenn,Gulpin,
318,Carvanha,"Water, Dark",Generation-iii,Hoenn,,Sharpedo
319,Sharpedo,"Water, Dark",Generation-iii,Hoenn,Carvanha,
320,Wailmer,Water,Generation-iii,Hoenn,,Wailord
321,Wailord,Water,Generation-iii,Hoenn,Wailmer,
322,Numel,"Fire, Ground",Generation-iii,Hoenn,,Camerupt
323,Camerupt,"Fire, Ground",Generation-iii,Hoenn,Numel,
324,Torkoal,Fire,Generation-iii,Hoenn,,
325,Spoink,Psychic,Generation-iii,Hoenn,,Grumpig
326,Grumpig,Psychic,Generation-iii,Hoenn,Spoink,
327,Spinda,Normal,Generation-iii,Hoenn,,
328,Trapinch,Ground,Generation-iii,Hoenn,,Vibrava
329,Vibrava,"Ground, Dragon",Generation-iii,Hoenn,Trapinch,Flygon
330,Flygon,"Ground, Dragon",Generation-iii,Hoenn,Vibrava,
331,Cacnea,Grass,Generation-iii,Hoenn,,Cacturne
332,Cacturne,"Grass, Dark",Generation-iii,Hoenn,Cacnea,
333,Swablu,"Normal, Flying",Generation-iii,Hoenn,,Altaria
334,Altaria,"Dragon, Flying",Generation-iii,Hoenn,Swablu,
335,Zangoose,Normal,Generation-iii,Hoenn,,
336,Seviper,Poison,Generation-iii,Hoenn,,
337,Lunatone,"Rock, Psychic",Generation-iii,Hoenn,,
338,Solrock,"Rock, Psychic",Generation-iii,Hoenn,,
339,Barboach,"Water, Ground",Generation-iii,Hoenn,,Whiscash
340,Whiscash,"Water, Ground",Generation-iii,Hoenn,Barboach,
341,Corphish,Water,Generation-iii,Hoenn,,Crawdaunt
342,Crawdaunt,"Water, Dark",Generation-iii,Hoenn,Corphish,
343,Baltoy,"Ground, Psychic",Generation-iii,Hoenn,,Claydol
344,Claydol,"Ground, Psychic",Generation-iii,Hoenn,Baltoy,
345,Lileep,"Rock, Grass",Generation-iii,Hoenn,,Cradily
346,Cradily,"Rock, Grass",Generation-iii,Hoenn,Lileep,
347,Anorith,"Rock, Bug",Generation-iii,Hoenn,,Armaldo
348,Armaldo,"Rock, Bug",Generation-iii,Hoenn,Anorith,
349,Feebas,Water,Generation-iii,Hoenn,,Milotic
350,Milotic,Water,Generation-iii,Hoenn,Feebas,
351,Castform,Normal,Generation-iii,Hoenn,,
352,Kecleon,Normal,Generation-iii,Hoenn,,
353,Shuppet,Ghost,Generation-iii,Hoenn,,Banette
354,Banette,Ghost,Generation-iii,Hoenn,Shuppet,
355,Duskull,Ghost,Generation-iii,Hoenn,,Dusclops
356,Dusclops,Ghost,Generation-iii,Hoenn,Duskull,Dusknoir
357,Tropius,"Grass, Flying",Generation-iii,Hoenn,,
358,Chimecho,Psychic,Generation-iii,Hoenn,Chingling,
359,Absol,Dark,Generation-iii,Hoenn,,
360,Wynaut,Psychic,Generation-iii,Hoenn,,Wobbuffet
361,Snorunt,Ice,Generation-iii,Hoenn,,Glalie Froslass
362,Glalie,Ice,Generation-iii,Hoenn,Snorunt,
363,Spheal,"Ice, Water",Generation-iii,Hoenn,,Sealeo
364,Sealeo,"Ice, Water",Generation-iii,Hoenn,Spheal,Walrein
365,Walrein,"Ice, Water",Generation-iii,Hoenn,Sealeo,
366,Clamperl,Water,Generation-iii,Hoenn,,Huntail Gorebyss
367,Huntail,Water,Generation-iii,Hoenn,Clamperl,
368,Gorebyss,Water,Generation-iii,Hoenn,Huntail,
369,Relicanth,"Water, Rock",Generation-iii,Hoenn,,
370,Luvdisc,Water,Generation-iii,Hoenn,,
371,Bagon,Dragon,Generation-iii,Hoenn,,Shelgon
372,Shelgon,Dragon,Generation-iii,Hoenn,Bagon,Salamence
373,Salamence,"Dragon, Flying",Generation-iii,Hoenn,Shelgon,
374,Beldum,"Steel, Psychic",Generation-iii,Hoenn,,Metang
375,Metang,"Steel, Psychic",Generation-iii,Hoenn,Beldum,Metagross
376,Metagross,"Steel, Psychic",Generation-iii,Hoenn,Metang,
377,Regirock,Rock,Generation-iii,Hoenn,,
378,Regice,Ice,Generation-iii,Hoenn,,
379,Registeel,Steel,Generation-iii,Hoenn,,
380,Latias,"Dragon, Psychic",Generation-iii,Hoenn,,
381,Latios,"Dragon, Psychic",Generation-iii,Hoenn,,
382,Kyogre,Water,Generation-iii,Hoenn,,
383,Groudon,Ground,Generation-iii,Hoenn,,
384,Rayquaza,"Dragon, Flying",Generation-iii,Hoenn,,
385,Jirachi,"Steel, Psychic",Generation-iii,Hoenn,,
386,Deoxys-normal,Psychic,Generation-iii,Hoenn,,
387,Turtwig,Grass,Generation-iv,Sinnoh,,Grotle
388,Grotle,Grass,Generation-iv,Sinnoh,Turtwig,Torterra
389,Torterra,"Grass, Ground",Generation-iv,Sinnoh,Grotle,
390,Chimchar,Fire,Generation-iv,Sinnoh,,Monferno
391,Monferno,"Fire, Fighting",Generation-iv,Sinnoh,Chimchar,Infernape
392,Infernape,"Fire, Fighting",Generation-iv,Sinnoh,Monferno,
393,Piplup,Water,Generation-iv,Sinnoh,,Prinplup
394,Prinplup,Water,Generation-iv,Sinnoh,Piplup,Empoleon
395,Empoleon,"Water, Steel",Generation-iv,Sinnoh,Prinplup,
396,Starly,"Normal, Flying",Generation-iv,Sinnoh,,Staravia
397,Staravia,"Normal, Flying",Generation-iv,Sinnoh,Starly,Staraptor
398,Staraptor,"Normal, Flying",Generation-iv,Sinnoh,Staravia,
399,Bidoof,Normal,Generation-iv,Sinnoh,,Bibarel
400,Bibarel,"Normal, Water",Generation-iv,Sinnoh,Bidoof,
401,Kricketot,Bug,Generation-iv,Sinnoh,,Kricketune
402,Kricketune,Bug,Generation-iv,Sinnoh,Kricketot,
403,Shinx,Electric,Generation-iv,Sinnoh,,Luxio
404,Luxio,Electric,Generation-iv,Sinnoh,Shinx,Luxray
405,Luxray,Electric,Generation-iv,Sinnoh,Luxio,
406,Budew,"Grass, Poison",Generation-iv,Sinnoh,,Roselia
407,Roserade,"Grass, Poison",Generation-iv,Sinnoh,Roselia,
408,Cranidos,Rock,Generation-iv,Sinnoh,,Rampardos
409,Rampardos,Rock,Generation-iv,Sinnoh,Cranidos,
410,Shieldon,"Rock, Steel",Generation-iv,Sinnoh,,Bastiodon
411,Bastiodon,"Rock, Steel",Generation-iv,Sinnoh,Shieldon,
412,Burmy,Bug,Generation-iv,Sinnoh,,Wormadam Mothim
413,Wormadam-plant,"Bug, Grass",Generation-iv,Sinnoh,Wormadam,
414,Mothim,"Bug, Flying",Generation-iv,Sinnoh,Wormadam,
415,Combee,"Bug, Flying",Generation-iv,Sinnoh,,Vespiquen
416,Vespiquen,"Bug, Flying",Generation-iv,Sinnoh,Combee,
417,Pachirisu,Electric,Generation-iv,Sinnoh,,
418,Buizel,Water,Generation-iv,Sinnoh,,Floatzel
419,Floatzel,Water,Generation-iv,Sinnoh,Buizel,
420,Cherubi,Grass,Generation-iv,Sinnoh,,Cherrim
421,Cherrim,Grass,Generation-iv,Sinnoh,Cherubi,
422,Shellos,Water,Generation-iv,Sinnoh,,Gastrodon
