Pokedex Number,Name,Types,Generation,Region,Previous Evolution,Evolution
135,Jolteon,Electric,Generation-i,Kanto,Eevee,Vaporeon
136,Flareon,Fire,Generation-i,Kanto,Eevee,Vaporeon
137,Porygon,Normal,Generation-i,Kanto,Porygon,"Porygon2, Porygon-z"
138,Omanyte,"Rock, Water",Generation-i,Kanto,Omanyte,Omastar
139,Omastar,"Rock, Water",Generation-i,Kanto,Omanyte,Omastar
140,Kabuto,"Rock, Water",Generation-i,Kanto,Kabuto,Kabutops
141,Kabutops,"Rock, Water",Generation-i,Kanto,Kabuto,Kabutops
142,Aerodactyl,"Rock, Flying",Generation-i,Kanto,,
143,Snorlax,Normal,Generation-i,Kanto,Munchlax,Snorlax
144,Articuno,"Ice, Flying",Generation-i,Kanto,,
145,Zapdos,"Electric, Flying",Generation-i,Kanto,,
146,Moltres,"Fire, Flying",Generation-i,Kanto,,
147,Dratini,Dragon,Generation-i,Kanto,Dratini,"Dragonair, Dragonite"
148,Dragonair,Dragon,Generation-i,Kanto,Dratini,"Dragonair, Dragonite"
149,Dragonite,"Dragon, Flying",Generation-i,Kanto,Dratini,"Dragonair, Dragonite"
150,Mewtwo,Psychic,Generation-i,Kanto,,
151,Mew,Psychic,Generation-i,Kanto,,
152,Chikorita,Grass,Generation-ii,Johto,Chikorita,"Bayleef, Meganium"
153,Bayleef,Grass,Generation-ii,Johto,Chikorita,"Bayleef, Meganium"
154,Meganium,Grass,Generation-ii,Johto,Chikorita,"Bayleef, Meganium"
155,Cyndaquil,Fire,Generation-ii,Johto,Cyndaquil,"Quilava, Typhlosion"
156,Quilava,Fire,Generation-ii,Johto,Cyndaquil,"Quilava, Typhlosion"
157,Typhlosion,Fire,Generation-ii,Johto,Cyndaquil,"Quilava, Typhlosion"
158,Totodile,Water,Generation-ii,Johto,Totodile,"Croconaw, Feraligatr"
159,Croconaw,Water,Generation-ii,Johto,Totodile,"Croconaw, Feraligatr"
160,Feraligatr,Water,Generation-ii,Johto,Totodile,"Croconaw, Feraligatr"
161,Sentret,Normal,Generation-ii,Johto,Sentret,Furret
162,Furret,Normal,Generation-ii,Johto,Sentret,Furret
163,Hoothoot,"Normal, Flying",Generation-ii,Johto,Hoothoot,Noctowl
164,Noctowl,"Normal, Flying",Generation-ii,Johto,Hoothoot,Noctowl
165,Ledyba,"Bug, Flying",Generation-ii,Johto,Ledyba,Ledian
166,Ledian,"Bug, Flying",Generation-ii,Johto,Ledyba,Ledian
167,Spinarak,"Bug, Poison",Generation-ii,Johto,Spinarak,Ariados
168,Ariados,"Bug, Poison",Generation-ii,Johto,Spinarak,Ariados
169,Crobat,"Poison, Flying",Generation-ii,Johto,Zubat,"Golbat, Crobat"
170,Chinchou,"Water, Electric",Generation-ii,Johto,Chinchou,Lanturn
171,Lanturn,"Water, Electric",Generation-ii,Johto,Chinchou,Lanturn
172,Pichu,Electric,Generation-ii,Johto,Pichu,"Pikachu, Raichu"
173,Cleffa,Fairy,Generation-ii,Johto,Cleffa,"Clefairy, Clefable"
174,Igglybuff,"Normal, Fairy",Generation-ii,Johto,Igglybuff,"Jigglypuff, Wigglytuff"
175,Togepi,Fairy,Generation-ii,Johto,Togepi,"Togetic, Togekiss"
176,Togetic,"Fairy, Flying",Generation-ii,Johto,Togepi,"Togetic, Togekiss"
177,Natu,"Psychic, Flying",Generation-ii,Johto,Natu,Xatu
178,Xatu,"Psychic, Flying",Generation-ii,Johto,Natu,Xatu
179,Mareep,Electric,Generation-ii,Johto,Mareep,"Flaaffy, Ampharos"
180,Flaaffy,Electric,Generation-ii,Johto,Mareep,"Flaaffy, Ampharos"
181,Ampharos,Electric,Generation-ii,Johto,Mareep,"Flaaffy, Ampharos"
182,Bellossom,Grass,Generation-ii,Johto,Oddish,"Gloom, Vileplume"
183,Marill,"Water, Fairy",Generation-ii,Johto,Azurill,"Marill, Azumarill"
184,Azumarill,"Water, Fairy",Generation-ii,Johto,Azurill,"Marill, Azumarill"
185,Sudowoodo,Rock,Generation-ii,Johto,Bonsly,Sudowoodo
186,Politoed,Water,Generation-ii,Johto,Poliwag,"Poliwhirl, Poliwrath"
187,Hoppip,"Grass, Flying",Generation-ii,Johto,Hoppip,"Skiploom, Jumpluff"
188,Skiploom,"Grass, Flying",Generation-ii,Johto,Hoppip,"Skiploom, Jumpluff"
189,Jumpluff,"Grass, Flying",Generation-ii,Johto,Hoppip,"Skiploom, Jumpluff"
190,Aipom,Normal,Generation-ii,Johto,Aipom,Ambipom
191,Sunkern,Grass,Generation-ii,Johto,Sunkern,Sunflora
192,Sunflora,Grass,Generation-ii,Johto,Sunkern,Sunflora
193,Yanma,"Bug, Flying",Generation-ii,Johto,Yanma,Yanmega
194,Wooper,"Water, Ground",Generation-ii,Johto,Wooper,Quagsire
195,Quagsire,"Water, Ground",Generation-ii,Johto,Wooper,Quagsire
196,Espeon,Psychic,Generation-ii,Johto,Eevee,Vaporeon
197,Umbreon,Dark,Generation-ii,Johto,Eevee,Vaporeon
198,Murkrow,"Dark, Flying",Generation-ii,Johto,Murkrow,Honchkrow
199,Slowking,"Water, Psychic",Generation-ii,Johto,Slowpoke,Slowbro
200,Misdreavus,Ghost,Generation-ii,Johto,Misdreavus,Mismagius
201,Unown,Psychic,Generation-ii,Johto,,
202,Wobbuffet,Psychic,Generation-ii,Johto,Wynaut,Wobbuffet
203,Girafarig,"Normal, Psychic",Generation-ii,Johto,Girafarig,Farigiraf
204,Pineco,Bug,Generation-ii,Johto,Pineco,Forretress
205,Forretress,"Bug, Steel",Generation-ii,Johto,Pineco,Forretress
206,Dunsparce,Normal,Generation-ii,Johto,Dunsparce,Dudunsparce
207,Gligar,"Ground, Flying",Generation-ii,Johto,Gligar,Gliscor
208,Steelix,"Steel, Ground",Generation-ii,Johto,Onix,Steelix
209,Snubbull,Fairy,Generation-ii,Johto,Snubbull,Granbull
210,Granbull,Fairy,Generation-ii,Johto,Snubbull,Granbull
211,Qwilfish,"Water, Poison",Generation-ii,Johto,Qwilfish,Overqwil
212,Scizor,"Bug, Steel",Generation-ii,Johto,Scyther,Scizor
213,Shuckle,"Bug, Rock",Generation-ii,Johto,,
214,Heracross,"Bug, Fighting",Generation-ii,Johto,,
215,Sneasel,"Dark, Ice",Generation-ii,Johto,Sneasel,Weavile
216,Teddiursa,Normal,Generation-ii,Johto,Teddiursa,"Ursaring, Ursaluna"
217,Ursaring,Normal,Generation-ii,Johto,Teddiursa,"Ursaring, Ursaluna"
218,Slugma,Fire,Generation-ii,Johto,Slugma,Magcargo
219,Magcargo,"Fire, Rock",Generation-ii,Johto,Slugma,Magcargo
220,Swinub,"Ice, Ground",Generation-ii,Johto,Swinub,"Piloswine, Mamoswine"
221,Piloswine,"Ice, Ground",Generation-ii,Johto,Swinub,"Piloswine, Mamoswine"
222,Corsola,"Water, Rock",Generation-ii,Johto,Corsola,Cursola
223,Remoraid,Water,Generation-ii,Johto,Remoraid,Octillery
224,Octillery,Water,Generation-ii,Johto,Remoraid,Octillery
225,Delibird,"Ice, Flying",Generation-ii,Johto,,
226,Mantine,"Water, Flying",Generation-ii,Johto,Mantyke,Mantine
227,Skarmory,"Steel, Flying",Generation-ii,Johto,,
228,Houndour,"Dark, Fire",Generation-ii,Johto,Houndour,Houndoom
229,Houndoom,"Dark, Fire",Generation-ii,Johto,Houndour,Houndoom
230,Kingdra,"Water, Dragon",Generation-ii,Johto,Horsea,"Seadra, Kingdra"
231,Phanpy,Ground,Generation-ii,Johto,Phanpy,Donphan
232,Donphan,Ground,Generation-ii,Johto,Phanpy,Donphan
233,Porygon2,Normal,Generation-ii,Johto,Porygon,"Porygon2, Porygon-z"
234,Stantler,Normal,Generation-ii,Johto,Stantler,Wyrdeer
235,Smeargle,Normal,Generation-ii,Johto,,
236,Tyrogue,Fighting,Generation-ii,Johto,Tyrogue,Hitmonlee
237,Hitmontop,Fighting,Generation-ii,Johto,Tyrogue,Hitmonlee
238,Smoochum,"Ice, Psychic",Generation-ii,Johto,Smoochum,Jynx
239,Elekid,Electric,Generation-ii,Johto,Elekid,"Electabuzz, Electivire"
240,Magby,Fire,Generation-ii,Johto,Magby,"Magmar, Magmortar"
241,Miltank,Normal,Generation-ii,Johto,,
242,Blissey,Normal,Generation-ii,Johto,Happiny,"Chansey, Blissey"
243,Raikou,Electric,Generation-ii,Johto,,
244,Entei,Fire,Generation-ii,Johto,,
245,Suicune,Water,Generation-ii,Johto,,
246,Larvitar,"Rock, Ground",Generation-ii,Johto,Larvitar,"Pupitar, Tyranitar"
247,Pupitar,"Rock, Ground",Generation-ii,Johto,Larvitar,"Pupitar, Tyranitar"
248,Tyranitar,"Rock, Dark",Generation-ii,Johto,Larvitar,"Pupitar, Tyranitar"
249,Lugia,"Psychic, Flying",Generation-ii,Johto,,
250,Ho-oh,"Fire, Flying",Generation-ii,Johto,,
251,Celebi,"Psychic, Grass",Generation-ii,Johto,,
252,Treecko,Grass,Generation-iii,Hoenn,Treecko,"Grovyle, Sceptile"
253,Grovyle,Grass,Generation-iii,Hoenn,Treecko,"Grovyle, Sceptile"
254,Sceptile,Grass,Generation-iii,Hoenn,Treecko,"Grovyle, Sceptile"
255,Torchic,Fire,Generation-iii,Hoenn,Torchic,"Combusken, Blaziken"
256,Combusken,"Fire, Fighting",Generation-iii,Hoenn,Torchic,"Combusken, Blaziken"
257,Blaziken,"Fire, Fighting",Generation-iii,Hoenn,Torchic,"Combusken, Blaziken"
258,Mudkip,Water,Generation-iii,Hoenn,Mudkip,"Marshtomp, Swampert"
259,Marshtomp,"Water, Ground",Generation-iii,Hoenn,Mudkip,"Marshtomp, Swampert"
260,Swampert,"Water, Ground",Generation-iii,Hoenn,Mudkip,"Marshtomp, Swampert"
261,Poochyena,Dark,Generation-iii,Hoenn,Poochyena,Mightyena
262,Mightyena,Dark,Generation-iii,Hoenn,Poochyena,Mightyena
263,Zigzagoon,Normal,Generation-iii,Hoenn,Zigzagoon,"Linoone, Obstagoon"
264,Linoone,Normal,Generation-iii,Hoenn,Zigzagoon,"Linoone, Obstagoon"
265,Wurmple,Bug,Generation-iii,Hoenn,Wurmple,"Silcoon, Beautifly"
266,Silcoon,Bug,Generation-iii,Hoenn,Wurmple,"Silcoon, Beautifly"
267,Beautifly,"Bug, Flying",Generation-iii,Hoenn,Wurmple,"Silcoon, Beautifly"
268,Cascoon,Bug,Generation-iii,Hoenn,Wurmple,"Silcoon, Beautifly"
269,Dustox,"Bug, Poison",Generation-iii,Hoenn,Wurmple,"Silcoon, Beautifly"
270,Lotad,"Water, Grass",Generation-iii,Hoenn,Lotad,"Lombre, Ludicolo"
271,Lombre,"Water, Grass",Generation-iii,Hoenn,Lotad,"Lombre, Ludicolo"
272,Ludicolo,"Water, Grass",Generation-iii,Hoenn,Lotad,"Lombre, Ludicolo"
273,Seedot,Grass,Generation-iii,Hoenn,Seedot,"Nuzleaf, Shiftry"
274,Nuzleaf,"Grass, Dark",Generation-iii,Hoenn,Seedot,"Nuzleaf, Shiftry"
275,Shiftry,"Grass, Dark",Generation-iii,Hoenn,Seedot,"Nuzleaf, Shiftry"
276,Taillow,"Normal, Flying",Generation-iii,Hoenn,Taillow,Swellow
277,Swellow,"Normal, Flying",Generation-iii,Hoenn,Taillow,Swellow
278,Wingull,"Water, Flying",Generation-iii,Hoenn,Wingull,Pelipper
279,Pelipper,"Water, Flying",Generation-iii,Hoenn,Wingull,Pelipper
280,Ralts,"Psychic, Fairy",Generation-iii,Hoenn,Ralts,"Kirlia, Gardevoir"
281,Kirlia,"Psychic, Fairy",Generation-iii,Hoenn,Ralts,"Kirlia, Gardevoir"
282,Gardevoir,"Psychic, Fairy",Generation-iii,Hoenn,Ralts,"Kirlia, Gardevoir"
283,Surskit,"Bug, Water",Generation-iii,Hoenn,Surskit,Masquerain
284,Masquerain,"Bug, Flying",Generation-iii,Hoenn,Surskit,Masquerain
285,Shroomish,Grass,Generation-iii,Hoenn,Shroomish,Breloom
286,Breloom,"Grass, Fighting",Generation-iii,Hoenn,Shroomish,Breloom
287,Slakoth,Normal,Generation-iii,Hoenn,Slakoth,"Vigoroth, Slaking"
288,Vigoroth,Normal,Generation-iii,Hoenn,Slakoth,"Vigoroth, Slaking"
289,Slaking,Normal,Generation-iii,Hoenn,Slakoth,"Vigoroth, Slaking"
290,Nincada,"Bug, Ground",Generation-iii,Hoenn,Nincada,Ninjask
291,Ninjask,"Bug, Flying",Generation-iii,Hoenn,Nincada,Ninjask
292,Shedinja,"Bug, Ghost",Generation-iii,Hoenn,Nincada,Ninjask
293,Whismur,Normal,Generation-iii,Hoenn,Whismur,"Loudred, Exploud"
294,Loudred,Normal,Generation-iii,Hoenn,Whismur,"Loudred, Exploud"
295,Exploud,Normal,Generation-iii,Hoenn,Whismur,"Loudred, Exploud"
296,Makuhita,Fighting,Generation-iii,Hoenn,Makuhita,Hariyama
297,Hariyama,Fighting,Generation-iii,Hoenn,Makuhita,Hariyama
298,Azurill,"Normal, Fairy",Generation-iii,Hoenn,Azurill,"Marill, Azumarill"
299,Nosepass,Rock,Generation-iii,Hoenn,Nosepass,Probopass
300,Skitty,Normal,Generation-iii,Hoenn,Skitty,Delcatty
301,Delcatty,Normal,Generation-iii,Hoenn,Skitty,Delcatty
302,Sableye,"Dark, Ghost",Generation-iii,Hoenn,,
303,Mawile,"Steel, Fairy",Generation-iii,Hoenn,,
304,Aron,"Steel, Rock",Generation-iii,Hoenn,Aron,"Lairon, Aggron"
305,Lairon,"Steel, Rock",Generation-iii,Hoenn,Aron,"Lairon, Aggron"
306,Aggron,"Steel, Rock",Generation-iii,Hoenn,Aron,"Lairon, Aggron"
307,Meditite,"Fighting, Psychic",Generation-iii,Hoenn,Meditite,Medicham
308,Medicham,"Fighting, Psychic",Generation-iii,Hoenn,Meditite,Medicham
309,Electrike,Electric,Generation-iii,Hoenn,Electrike,Manectric
310,Manectric,Electric,Generation-iii,Hoenn,Electrike,Manectric
311,Plusle,Electric,Generation-iii,Hoenn,,
312,Minun,Electric,Generation-iii,Hoenn,,
313,Volbeat,Bug,Generation-iii,Hoenn,,
314,Illumise,Bug,Generation-iii,Hoenn,,
315,Roselia,"Grass, Poison",Generation-iii,Hoenn,Budew,"Roselia, Roserade"
316,Gulpin,Poison,Generation-iii,Hoenn,Gulpin,Swalot
317,Swalot,Poison,Generation-iii,Hoenn,Gulpin,Swalot
318,Carvanha,"Water, Dark",Generation-iii,Hoenn,Carvanha,Sharpedo
319,Sharpedo,"Water, Dark",Generation-iii,Hoenn,Carvanha,Sharpedo
320,Wailmer,Water,Generation-iii,Hoenn,Wailmer,Wailord
321,Wailord,Water,Generation-iii,Hoenn,Wailmer,Wailord
322,Numel,"Fire, Ground",Generation-iii,Hoenn,Numel,Camerupt
323,Camerupt,"Fire, Ground",Generation-iii,Hoenn,Numel,Camerupt
324,Torkoal,Fire,Generation-iii,Hoenn,,
325,Spoink,Psychic,Generation-iii,Hoenn,Spoink,Grumpig
326,Grumpig,Psychic,Generation-iii,Hoenn,Spoink,Grumpig
327,Spinda,Normal,Generation-iii,Hoenn,,
328,Trapinch,Ground,Generation-iii,Hoenn,Trapinch,"Vibrava, Flygon"
329,Vibrava,"Ground, Dragon",Generation-iii,Hoenn,Trapinch,"Vibrava, Flygon"
330,Flygon,"Ground, Dragon",Generation-iii,Hoenn,Trapinch,"Vibrava, Flygon"
331,Cacnea,Grass,Generation-iii,Hoenn,Cacnea,Cacturne
332,Cacturne,"Grass, Dark",Generation-iii,Hoenn,Cacnea,Cacturne
333,Swablu,"Normal, Flying",Generation-iii,Hoenn,Swablu,Altaria
334,Altaria,"Dragon, Flying",Generation-iii,Hoenn,Swablu,Altaria
335,Zangoose,Normal,Generation-iii,Hoenn,,
336,Seviper,Poison,Generation-iii,Hoenn,,
337,Lunatone,"Rock, Psychic",Generation-iii,Hoenn,,
338,Solrock,"Rock, Psychic",Generation-iii,Hoenn,,
339,Barboach,"Water, Ground",Generation-iii,Hoenn,Barboach,Whiscash
340,Whiscash,"Water, Ground",Generation-iii,Hoenn,Barboach,Whiscash
341,Corphish,Water,Generation-iii,Hoenn,Corphish,Crawdaunt
342,Crawdaunt,"Water, Dark",Generation-iii,Hoenn,Corphish,Crawdaunt
343,Baltoy,"Ground, Psychic",Generation-iii,Hoenn,Baltoy,Claydol
344,Claydol,"Ground, Psychic",Generation-iii,Hoenn,Baltoy,Claydol
345,Lileep,"Rock, Grass",Generation-iii,Hoenn,Lileep,Cradily
346,Cradily,"Rock, Grass",Generation-iii,Hoenn,Lileep,Cradily
347,Anorith,"Rock, Bug",Generation-iii,Hoenn,Anorith,Armaldo
348,Armaldo,"Rock, Bug",Generation-iii,Hoenn,Anorith,Armaldo
349,Feebas,Water,Generation-iii,Hoenn,Feebas,Milotic
350,Milotic,Water,Generation-iii,Hoenn,Feebas,Milotic
351,Castform,Normal,Generation-iii,Hoenn,,
352,Kecleon,Normal,Generation-iii,Hoenn,,
353,Shuppet,Ghost,Generation-iii,Hoenn,Shuppet,Banette
